trial,timestamp,trigger_time_s,trigger_sample,crossing_duration_s,TrialType,HIT,MISS,CR,FA,ResultType,sound_id,lick_count
1,2026-05-24T09:50:16.530,0.000000,0,0.281000,2 noGo,0,0,1,0,CR,16,
2,2026-05-24T09:50:21.070,3.000000,3000,1.025000,1 GO,1,0,0,0,HIT,1,
3,2026-05-24T09:50:25.617,6.000000,6000,1.197000,2 noGo,0,0,0,1,FA,16,
4,2026-05-24T09:50:29.895,9.000000,9000,1.150000,1 GO,1,0,0,0,HIT,1,
5,2026-05-24T09:50:34.124,12.000000,12000,0.581000,2 noGo,0,0,1,0,CR,16,
6,2026-05-24T09:50:38.432,15.000000,15000,1.671000,1 GO,1,0,0,0,HIT,1,
7,2026-05-24T09:50:42.712,18.000000,18000,1.253000,2 noGo,0,0,0,1,FA,16,
8,2026-05-24T09:50:46.944,21.000000,21000,1.237000,1 GO,1,0,0,0,HIT,1,
9,2026-05-24T09:50:51.305,24.000000,24000,1.771000,2 noGo,0,0,0,1,FA,16,
10,2026-05-24T09:50:55.414,27.000000,27000,1.750000,2 noGo,0,0,0,1,FA,16,
11,2026-05-24T09:50:59.660,30.000000,30000,1.275000,1 GO,1,0,0,0,HIT,1,
