trial,timestamp,sound_id,trigger_time_s,task_type,hit_threshold_percent,hit_threshold_s,threshold_v,lever_hold_time_s,iti_s,iti_rand_min_s,iti_rand_max_s,sound_delay_s,sound_duration_s,trial_duration_s,response_window_s,reward_delay_s,reward_duration_ms,punish_interval,reward_go,punish_no_go_fa,min_lick_count,lick_threshold,play_sound,trigger_output,Block
1,2026-05-23T10:25:43.274,1,0.109122,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
2,2026-05-23T10:25:46.253,10,3.101711,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
3,2026-05-23T10:25:49.193,1,6.101623,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
4,2026-05-23T10:25:52.243,10,9.101663,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
5,2026-05-23T10:25:55.245,1,12.100677,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
6,2026-05-23T10:25:58.227,1,15.100555,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
7,2026-05-23T10:26:01.262,10,18.100995,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
8,2026-05-23T10:26:04.186,1,21.100836,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
9,2026-05-23T10:26:07.238,10,24.100556,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
10,2026-05-23T10:26:10.245,1,27.101761,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
11,2026-05-23T10:26:13.252,1,30.100780,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
12,2026-05-23T10:26:16.201,1,33.100757,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
13,2026-05-23T10:26:19.257,1,36.100990,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
14,2026-05-23T10:26:22.210,10,39.101058,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
15,2026-05-23T10:26:25.245,1,42.101001,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
16,2026-05-23T10:26:28.226,10,45.100990,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
17,2026-05-23T10:26:31.266,1,48.103966,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
18,2026-05-23T10:26:34.249,1,51.100552,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
19,2026-05-23T10:26:37.187,10,54.101167,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
20,2026-05-23T10:26:40.235,1,57.100779,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
21,2026-05-23T10:26:43.208,10,60.100890,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
