trial,timestamp,sound_id,trigger_time_s,trigger_sample,task_type,hit_threshold_percent,hit_threshold_s,threshold_v,lever_hold_time_s,iti_s,iti_rand_min_s,iti_rand_max_s,sound_delay_s,sound_duration_s,trial_duration_s,response_window_s,reward_delay_s,reward_duration_ms,punish_interval,reward_go,punish_no_go_fa,min_lick_count,lick_threshold,play_sound,trigger_output,Block
1,2026-05-24T19:08:12.680,1,0.000000,0,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block1
2,2026-05-24T19:08:17.403,16,3.000000,3000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block2
3,2026-05-24T19:08:21.732,1,6.000000,6000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block3
4,2026-05-24T19:08:26.045,1,9.000000,9000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block4
5,2026-05-24T19:08:30.278,16,12.000000,12000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block5
6,2026-05-24T19:08:34.590,16,15.000000,15000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block6
7,2026-05-24T19:08:38.832,1,18.000000,18000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block7
8,2026-05-24T19:08:43.230,16,21.000000,21000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block8
9,2026-05-24T19:08:47.478,16,24.000000,24000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block9
10,2026-05-24T19:08:51.833,1,27.000000,27000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block10
11,2026-05-24T19:08:56.187,16,30.000000,30000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block11
12,2026-05-24T19:09:00.384,1,33.000000,33000,,50.0,1.0,1.0,1.0,1.0,,,0.0,0,2.0,2.0,0.0,10.0,,,,,,1,1,block12
