trial,timestamp,trigger_time_s,crossing_duration_s,TrialType,HIT,MISS,CR,FA,ResultType,sound_id,lick_count
1,2026-05-21T14:47:22.499,2.882022,0.707610,2 noGo,0,0,1,0,CR,16,
2,2026-05-21T14:47:29.410,9.814854,0.607249,2 noGo,0,0,1,0,CR,16,
3,2026-05-21T14:47:35.002,15.419276,0.576977,1 GO,0,1,0,0,MISS,1,
4,2026-05-21T14:47:39.692,20.116278,0.549349,1 GO,0,1,0,0,MISS,1,
5,2026-05-21T14:47:47.794,28.177187,0.684517,2 noGo,0,0,1,0,CR,16,
6,2026-05-21T14:47:53.194,33.601922,1.000000,1 GO,0,1,0,0,MISS,1,
7,2026-05-21T14:48:00.597,40.967378,0.640702,2 noGo,0,0,1,0,CR,16,
8,2026-05-21T14:48:05.513,45.910560,1.000000,1 GO,0,1,0,0,MISS,1,
9,2026-05-21T14:48:11.913,52.343808,0.557806,1 GO,0,1,0,0,MISS,1,
10,2026-05-21T14:48:19.893,60.270949,0.857547,2 noGo,0,0,1,0,CR,16,
11,2026-05-21T14:48:26.206,66.611340,1.000000,2 noGo,0,0,1,0,CR,16,
